Creator,Creator ID,Creator in Sanity,Title,Year,Image URL,Filename,Caption
"Sebastian Hepp","5Nnn2PqcEKG4dqRP9h4gpO","Yes","Schalenobjekt. Stahl, geschmiedet und montiert,","","https://artaurea.de/wp-content/uploads/2021/03/Sebastian-Hepp_Schalenobjekt__Art-Aurea.jpg","Sebastian-Hepp_Schalenobjekt__Art-Aurea.jpg","Schalenobjekt. Stahl, geschmiedet und montiert, 44 x 11,8 cm. Photo: Sebastian Linder."
"Sebastian Hepp","5Nnn2PqcEKG4dqRP9h4gpO","Yes","Schalenobjekt. Stahl, geschmiedet und montiert,","","https://artaurea.de/wp-content/uploads/2021/03/Sebastian-Hepp_Schalenobjekt_1_1_Art-Aurea-1.jpg","Sebastian-Hepp_Schalenobjekt_1_1_Art-Aurea-1.jpg","Schalenobjekt. Stahl, geschmiedet und montiert, 44 x 11,8 cm. Photo: Sebastian Linder."
"Sebastian Hepp","5Nnn2PqcEKG4dqRP9h4gpO","Yes","Gefäßobjekte. Stahl, geschmiedet und montiert. 22,","","https://artaurea.de/wp-content/uploads/2021/03/Sebastian-Hepp_Gefaessobjekte_flach_2.jpg","Sebastian-Hepp_Gefaessobjekte_flach_2.jpg","Gefäßobjekte. Stahl, geschmiedet und montiert. 22,8 x 11,5 x 4 cm und 20,8 x 11,2 x 3,6 cm. Photo: Sebastian Linder."
"Sebastian Hepp","5Nnn2PqcEKG4dqRP9h4gpO","Yes","Gefäßobjekte. Stahl, geschmiedet und montiert. 22,","","https://artaurea.de/wp-content/uploads/2021/03/Sebastian-Hepp_Gefaessobjekt_flach_Art-Aurea-1.jpg","Sebastian-Hepp_Gefaessobjekt_flach_Art-Aurea-1.jpg","Gefäßobjekte. Stahl, geschmiedet und montiert. 22,8 x 11,5 x 4 cm und 20,8 x 11,2 x 3,6 cm. Photo: Sebastian Linder."
"Sebastian Hepp","5Nnn2PqcEKG4dqRP9h4gpO","Yes","Öllichter, Stahl, geschmiedet. Je 4,","","https://artaurea.de/wp-content/uploads/2021/03/Sebastian-Hepp_Oellichter-Gruppe_Art-Aurea.jpg","Sebastian-Hepp_Oellichter-Gruppe_Art-Aurea.jpg","Öllichter, Stahl, geschmiedet. Je 4,5 x 4 x 4,5 cm. Photo: Sebastian Linder."
"Sebastian Hepp","5Nnn2PqcEKG4dqRP9h4gpO","Yes","Öllicht. Stahl, geschmiedet. 4,","","https://artaurea.de/wp-content/uploads/2021/03/Sebastian-Hepp_Oellicht-1_Art-Aurea.jpg","Sebastian-Hepp_Oellicht-1_Art-Aurea.jpg","Öllicht. Stahl, geschmiedet. 4,5 x 4 x 4,5 cm. . Photo: Sebastian Linder."
"Hirsch – Woodenheart","5Nnn2PqcEKG4dqRP9h41lq","Yes","Holzschale Una. Schwarznuss, Blattgold 999, H 10 x Ø 24 cm","","https://artaurea.de/wp-content/uploads/2016/05/Hirsch-Wooden-Heart-Una.jpg","Hirsch-Wooden-Heart-Una.jpg","Holzschale Una. Schwarznuss, Blattgold 999, H 10 x Ø 24 cm"
"Angela Hübel","","No","Trauringe Bond.","","https://artaurea.de/wp-content/uploads/2013/10/2014-TR-Bond-breit_S-Angela-Huebel-Ring.jpg","2014-TR-Bond-breit_S-Angela-Huebel-Ring.jpg","Trauringe Bond."
"Kap-Sun Hwang","hEWOpVV05Nk2Wkv6vItIi9","Yes","Gefäß. Porzellan","","https://artaurea.de/wp-content/uploads/2013/12/Hwang-gefaess2-e1401811887256.jpg","Hwang-gefaess2-e1401811887256.jpg","Gefäß. Porzellan"
"Kap-Sun Hwang","hEWOpVV05Nk2Wkv6vItIi9","Yes","Gefäß. Porzellan","","https://artaurea.de/wp-content/uploads/2013/12/Hwang-gefaess-e1401811917950.jpg","Hwang-gefaess-e1401811917950.jpg","Gefäß. Porzellan"
