original_filename,name,method
"Detail-der-Ausstellungansicht-Shinichi-Sawada-2020-Bildarchiv-Georg-Kolbe-Museum-Foto-Enric-Duch_3.jpg","Ausstellungansicht Shinichi Sawada",file_pattern_b
"Shinichi Sawada, Ohne Titel (16), 2012, Keramik, Social Welfare Organisation Nakayoshi Fukushikai, Foto Andreas Pauly.jpg","Shinichi Sawada",file_pattern_b
"Shinichi Sawada, Ohne Titel (42), 2010-11, Keramik, Social Welfare Organisation Nakayoshi Fukushikai, Foto Andreas Pauly.psd","Shinichi Sawada",file_pattern_b
"Shinichi Sawada, Social Welfare Organisation Nakayoshi Fukushikai, Foto Satoshi Takaishi.jpg","Shinichi Sawada",file_pattern_b
"Detail-der-Ausstellungansicht-Shinichi-Sawada-2020-Bildarchiv-Georg-Kolbe-Museum-Foto-Enric-Duch_4.jpg","Ausstellungansicht Shinichi Sawada",file_pattern_b
"09_4B_Müller-Paul_24.jpg","Müller Paul",file_pattern_b
"Danner-Preis 2020.docx","Danner Preis",file_pattern_b
"Danner Preise 2020.odt","Danner Preise",file_pattern_b
"01_0A_Dittlmann-Bettina_Dannerpreis_17.jpg","Dittlmann Bettina Dannerpreis",file_pattern_b
"05_2A_Bauhuis-Peter_2.jpg","Bauhuis Peter",file_pattern_b
"08_3B_Bittl-Petra_32.jpg","Bittl Petra",file_pattern_b
"03_1A_Baier-Otto_04.jpg","Baier Otto",file_pattern_b
"Staatspreise Baden-Württemberg.docx","Staatspreise Baden Württemberg",file_pattern_b
"Gabi_Ehrminger.jpeg","Gabi Ehrminger",file_pattern_b
"Mirjam_Hiller.jpeg","Mirjam Hiller",file_pattern_b
"Elena+Nicola-Burggraf.jpeg","Nicola Burggraf",file_pattern_b
"PM 304_Staatspreis Kunsthandwerk.pdf","Staatspreis Kunsthandwerk",file_pattern_b
"Staatspreise Baden-Württemberg_EN.docx","Staatspreise Baden Württemberg",file_pattern_b
"Koll_08_03_Wolle-Carre_Das_Licht_in_der_Mitte_des_Zimmers_schwarz-grau.tif","Wolle Carre Das Licht",file_pattern_b
"Keizo Sugitani, Shadows Crossing, H62.5 x W35.5 x D35.jpg","Keizo Sugitani",file_pattern_b
"Arvid Boecker, #1377, Öl auf Leinwand, 2020, 50x40cm.JPG","Arvid Boecker",file_pattern_b
"Arvid Boecker, #1382, Öl auf Leinwand, 2020, 50x40cm.JPG","Arvid Boecker",file_pattern_b
"Sugita Bohnacker.docx","Sugita Bohnacker",file_pattern_b
"Arvid Boecker, #1377, Öl auf Leinwand, 2020, 50x40cm.psd","Arvid Boecker",file_pattern_b
"Arvid Boecker, #1382, Öl auf Leinwand, 2020, 50x40cm.psd","Arvid Boecker",file_pattern_b
"Arvid Boecker, # 1192, Ol auf  Leinwand, 2019, 50x40x5,5cm.jpg","Arvid Boecker",file_pattern_b
"Keizo Sugitani, umbra vitae, H51 x W28 x D12.jpg","Keizo Sugitani",file_pattern_b
"Galerie Marianne Heller, Sugitani - Boecker, Text von Dr. Buhlmann.docx","Galerie Marianne Heller",file_pattern_b
"Arvid Boecker.jpg","Arvid Boecker",file_pattern_b
"Arvid Boecker, # 1202, Ol auf L einwand, 2019, 50x40x5,5 cm.jpg","Arvid Boecker",file_pattern_b
"Keizo Sugitani, umbra vitae, H63.5 x W27.5 x D21.jpg","Keizo Sugitani",file_pattern_b
"Arvid Boecker, # 1193, Ol auf L einwand, 2019, 50x40x5,5 cm.jpg","Arvid Boecker",file_pattern_b
"Arvid Boecker, #1378, Öl auf Leinwand, 2020, 50x40cm.JPG","Arvid Boecker",file_pattern_b
"Halsketten_Foldings2020_verzinktes_Stahlblech_patiniertes_Kupfer_Foto_Hammer.jpg","Kupfer Foto",file_pattern_b
"Halsketten_Foldings2020_verzinktes_Stahlblech_patiniertes_Kupfer_Foto_Hammer.psd","Kupfer Foto",file_pattern_b
"Hammer_Foldings_Kupfer_mit_historischer_Patina_Foto_Henry.M.Linder.psd","Hammer Foldings Kupfer",file_pattern_b
"Huber_Gebaeude_aussen_Foto_Wolfgang.Huber.jpg","Huber Gebaeude",file_pattern_b
"Hammer_Foldings_Kupfer_mit_historischer_Patina_Foto_Henry.M.Linder.jpg","Hammer Foldings Kupfer",file_pattern_b
"Huber_Werkstatt1_Foto_Wolfgang_Huber.JPG","Foto Wolfgang",file_pattern_b
"Hammer - Huber.png","Hammer Huber",file_pattern_b
"Hammer_Kette_Kugeln_dekonstruiert2014_Aluminium_lackiert_Foto_Hammer.jpg","Hammer Kette Kugeln",file_pattern_b
"Hammer_Verläufe2014_Nylon_3D-print_Foto_Atelier_Olschinsky.jpg","Hammer Verlä",file_pattern_b
