Filename,Size (KB),Size (bytes),Width,Height,Used In,Image ID,URL
"22486_artemis-zafrana-flugvoegel-2.jpg",90,92210,1300,1920,0,"image-383b7c1c53c07ad275a88e8f8727771d587a3daf-1300x1920-jpg","https://cdn.sanity.io/images/b8bczekj/production/383b7c1c53c07ad275a88e8f8727771d587a3daf-1300x1920.jpg"
"19588_kette_vernetzung_teakfurnier.jpg",90,92241,1920,1300,0,"image-89467bcd806cff1dd975928bd7203d06b1be84a7-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/89467bcd806cff1dd975928bd7203d06b1be84a7-1920x1300.jpg"
"22496_p1250911xg2.jpg",90,92250,1920,1300,0,"image-16f3ac04dd7b22896f6bbfdf835d327bf1728d36-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/16f3ac04dd7b22896f6bbfdf835d327bf1728d36-1920x1300.jpg"
"54516_lotte-reimers_keramik_gefaess-mit-langem-hals.jpg",90,92262,1950,2600,0,"image-9a04950322f5176badfcb26764208ba52094bc12-1950x2600-jpg","https://cdn.sanity.io/images/b8bczekj/production/9a04950322f5176badfcb26764208ba52094bc12-1950x2600.jpg"
"61325_staatspreis-manufactum_heike-schirmer.jpg",90,92301,1920,1300,0,"image-b4b1289c60f9be73f7e6fa95bc2f41cec63129db-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/b4b1289c60f9be73f7e6fa95bc2f41cec63129db-1920x1300.jpg"
"55520_loewe-craft-prize_2018-960x630.jpg",90,92383,960,630,0,"image-48e3cd436b0130d008492e9e6d6c75bf0a4d1754-960x630-jpg","https://cdn.sanity.io/images/b8bczekj/production/48e3cd436b0130d008492e9e6d6c75bf0a4d1754-960x630.jpg"
"55733_weiss-ueber-den-tod-hinaus_lydia-gastroph-2.jpg",90,92423,400,270,0,"image-71294ad7349a507192b8bf97e65d93dabb74c0f5-400x270-jpg","https://cdn.sanity.io/images/b8bczekj/production/71294ad7349a507192b8bf97e65d93dabb74c0f5-400x270.jpg"
"24860_2lae-cutlery-spoon-fork-and-knife-belli-studio-for-design-riccardo-belli.jpg",90,92451,1920,1300,0,"image-7ef1d8535bc2c019545079f4b6da9a94c6f08a64-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/7ef1d8535bc2c019545079f4b6da9a94c6f08a64-1920x1300.jpg"
"1204_carl-dau-anhaenger-monochrom-6.jpg",90,92467,1920,1260,0,"image-2563a51316099e86763975cb968b3133556a5640-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/2563a51316099e86763975cb968b3133556a5640-1920x1260.jpg"
"1939_susanna-kuschek-ring-punkte-3.jpg",90,92476,1920,1260,0,"image-03ec22572f9d9628cc38a58bed1c5d43f677d3bb-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/03ec22572f9d9628cc38a58bed1c5d43f677d3bb-1920x1260.jpg"
